Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	1eabae70651e4add259b4176a2a50de2c8ac9a526aaea2e0b2657082593ceff6	Fizzled (Cyrus) 
0. Acquiring assets	0.7 Acquiring malware	0.7.1 Developing custom malware	d659be4ae2e65369ac6d5fc7e47d257f57f3057b6e335955593491aa1dcd6712	Kuicksy (Cyrus) 
				
1. Disguising assets	1.2 Posing as non-existent person	1.2.1 Posing as person seeking romance	Posing as women seeking romance	
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	historybooksandinfo[.]blogspot[.]com	Panther
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	uniqueaccessoriesblog[.]blogspot[.]com	Panther
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	dependablework[.]wordpress[.]com	Panther
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	chitchatone[.]blogspot[.]com	Panther
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	bookreadinginfo[.]blogspot[.]com	Panther
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	chitchate[.]wordpress[.]com	PJobRAT
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	talkto1[.]wordpress[.]com	PJobRAT
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	bluechatt[.]wordpress[.]com	PJobRAT
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	conversemore[.]wordpress[.]com	Mayhem
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	ourhome234[.]blogspot[.]com	Mayhem
1. Disguising assets	1.6 Disguising malware sites	1.6.6 Disguising malware site as blog	f2reebooks[.]blogspot[.]com	Mayhem
				
3. Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	mrsuriyais[.]onthewifi[.]com	Panther
3. Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	whoseethe[.]ddnsking[.]com	Panther
3. Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	androidfirebase[.]in	Cyrus
3. Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	officetemplatecv[.]in	Cyrus
3. Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	hopat[.]webhop[.]me	Mayhem
7. Targeted engagement	7.3 Engaging with specific audience	7.3.2 Posting into specifically themed Groups	Posting into Groups focused on Balochistan	
				
8. Compromising assets	8.1 Social engineering	8.1.1 Socially engineering targets to deliver malware	Using fake personas to persuade targets to visit sites hosting malware	
