Tactic	Technique	Procedure	Indicator	Commernts
3 Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	moon.playstoreapi[.]net	
3 Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	mars.playstoreapi[.]net	
3 Coordinating and planning	3.4 Running command and control infrastructure	3.4.1 Using domains and subdomains for command and control (C2)	venus.playstoreapi[.]net	
				
5 Evading detection	5.1 Privacy protection	5.1.1 Privacy protecting website registrations	Registering domains with Tucows Domains	
5 Evading detection	5.1 Privacy protection	5.1.1 Privacy protecting website registrations	Registering domains with Internet Domain Services BS Corp t/a Internet.bs	
5 Evading detection	5.1 Privacy protection	5.1.1 Privacy protecting website registrations	Registering domains with Ionos SE	
5 Evading detection	5.1 Privacy protection	5.1.1 Privacy protecting website registrations	Registering domains with TLD Registrar Solutions Ltd.	
5 Evading detection	5.1 Privacy protection	5.1.1 Privacy protecting website registrations	Registering domains with Namecheap Inc	
5 Evading detection	5.5 Obfuscating infrastructure	5.5.3 Using third-party hosting providers	Using third party file hosting providers to host and distribute malware	
				
7 Targeted engagement	7.9 Distributing malware	7.9.1 Distributing malicious links	Sharing malicious links & files via non-malicious custom applications 	Inferred behavior
				
8 Compromising assets	8.1 Social engineering	8.1.1 Socially engineering targets to deliver malware	Socially engineering targets to visit sites hosting malware	
8 Compromising assets	8.1 Social engineering	8.1.1 Socially engineering targets to deliver malware	Socially engineering targets to download Windows, Android, or MacOS malware	
				
9 Enabling longevity	9.4 Upgrading capabilities	9.4.1 Upgrading malware capabilities 	Releasing Gravity RAT for Windows	
9 Enabling longevity	9.4 Upgrading capabilities	9.4.1 Upgrading malware capabilities 	Releasing Gravity RAT for Android	
9 Enabling longevity	9.4 Upgrading capabilities	9.4.1 Upgrading malware capabilities 	Releasing Gravity RAT for MacOS	
9 Enabling longevity	9.4 Upgrading capabilities	9.4.1 Upgrading malware capabilities 	Adding resilience to command-and-control infrastructure in response to disruptions and exposures	
9 Enabling longevity	9.5 Replacing infrastructure	9.5.2 Changing domains	Creating new domains to host malware after older ones were exposed	
9 Enabling longevity	9.5 Replacing infrastructure	9.5.1 Changing social media accounts 	Creating new fake social media accounts to replace disabled ones	
