Tactic,Technique,Procedure,Indicator,Comments
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/cucuchat-download-2019,"Malicious links disguised as downloads for chat / communication apps
Redirects to: https://drive-sharefiles-downloads[.]gq/CucuChat.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/fruitchat19 ,"Malicious links disguised as downloads for chat / communication apps
Redirects to: https://fileshares[.]online/Fruitchat.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/Fruitchatv4 ,"Malicious links disguised as downloads for chat / communication apps
Redirects to: https://fileshares[.]online/Fruitchatv4.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/Just-You-apk ,"Malicious links disguised as downloads for chat / communication apps
Redirects to: https://fileshares[.]online/Just-You.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://bit[.]ly/37AktWN,Malicious links disguised as downloads for chat / communication apps
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://rebrand[.]ly/ptalkk,"Malicious links disguised as downloads for chat / communication apps
Redirects to: https://fun.socialyte[.]site/BABBLEv3.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://videvideocaller[.]ml/video/vide_videocall.apk,Malicious links disguised as downloads for chat / communication apps
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/Google-VPN-apk,"Malicious links disguised as downloads for VPN service
Redirects to: http://file-downloader[.]ga/vpn_oa.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,"https://tinyurl[.]com/google-vpn-download
redirects to: ","Malicious links disguised as downloads for VPN service
Redirects to: http://thenewsnation[.]ml:9371/vpn_au.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,"https://tinyurl[.]com/latest-vpn-downloads
","Malicious links disguised as downloads for VPN service
Redirects to: http://vpndownloads.ddns[.]net:2808/vpn_ag.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://bit[.]do/VPN_latest_secure-apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://downloader-file[.]cf/vpn_hh.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://downloadvpn[.]comli[.]com/VPN.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://vpndl[.]co[.]nf/VPN.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://vpndownload[.]co[.]nf/VPN.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://vpndownload[.]webutu[.]com/hh/f/n/VPN.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://vpndownloads[.]co[.]nf/VPN.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,http://vpndownloads[.]ddns[.]net:2808/vpn_hh.apk,Malicious links disguised as downloads for VPN service
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/Dukhtaran-e-Millat-Updates,"Malicious links disguised as downloads for news / update services
Redirects to: http://islamicbayanat.ddns[.]net:2808/app_bb.apk"
7 Targeted engagement,7.9 Distributing malware,7.9.1 Distributing malicious links,https://tinyurl[.]com/APHC-updates-live,"Malicious links disguised as downloads for news / update services
Redirects to: http://185.82.216[.]57:2125/google_user_authentication/"
7 Targeted engagement,7.9 Distributing malware,7.9.2 Uploading malicious apps to online stores,https://play.google[.]com/store/apps/details?id=com.pinglabs.justping,Uploading apps to Google Playstore
7 Targeted engagement,7.9 Distributing malware,7.9.2 Uploading malicious apps to online stores,https://play.google[.]com/store/apps/details?id=com.click.chatapp,Uploading apps to Google Playstore
7 Targeted engagement,7.9 Distributing malware,7.9.2 Uploading malicious apps to online stores,https://play.google[.]com/store/apps/details?id=com.how.chatapp,Uploading apps to Google Playstore
,,,,
8 Compromising assets,8.1 Social engineering,8.1.1 Socially engineering targets to deliver malware,Using fake personas to persuade targets to visit sites hosting malware,
8 Compromising assets,8.1 Social engineering,8.1.1 Socially engineering targets to deliver malware,Persuading targets to install malicious apps,
8 Compromising assets,8.1 Social engineering,8.1.4 Using non-malicious apps,"Some of the APT’s apps for Android avoided explicit malicious functionality, relying on user permissions to acquire information",
